dataset,dataset_id,modality,model,model_display,baseline_flip_rate,cta_flip_rate,delta_abs,delta_relative_pct,baseline_accuracy,cta_accuracy,n_items_baseline,n_items_cta,n_trials_baseline,n_trials_cta,baseline_source,cta_source,cta_multipass_flip_rate,cta_multipass_delta_vs_cta,cta_multipass_accuracy,n_items_cta_multipass,cta_multipass_source
MedXpertQA,medxpertqa,text-evidence,gemini-3.1-pro-preview,Gemini 3.1 Pro,0.3,0.18,-0.12,-40.0,0.6,0.6,50,50,300,300,MMIOS/results/experiments/tf_full_2026-05-21_00-59-14_2026-05-21_00-59-14/inference/medxpertqa__gemini-3.1-pro-preview__baseline_think8k.jsonl,MMIOS/results/experiments/tf_full_2026-05-21_00-59-14_2026-05-21_00-59-14/inference/medxpertqa__gemini-3.1-pro-preview__cta.jsonl,0.29,0.11,0.556667,100,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/medxpertqa__gemini-3.1-pro-preview__cta_multipass.jsonl
MedXpertQA,medxpertqa,text-evidence,gemini-3-flash-preview,Gemini 3 Flash,0.26,0.3,0.04,15.384615,0.643333,0.65,50,50,300,300,MMIOS/results/experiments/tf_full_2026-05-21_00-59-14_2026-05-21_00-59-14/inference/medxpertqa__gemini-3-flash-preview__baseline_think8k.jsonl,MMIOS/results/experiments/tf_full_2026-05-21_00-59-14_2026-05-21_00-59-14/inference/medxpertqa__gemini-3-flash-preview__cta.jsonl,0.4,0.1,0.591667,100,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/medxpertqa__gemini-3-flash-preview__cta_multipass.jsonl
MMLU-Pro,mmlu_pro,text-mcq,gemini-3.1-pro-preview,Gemini 3.1 Pro,0.1,0.09,-0.01,-10.0,0.933333,0.931667,100,100,600,600,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/mmlu_pro__gemini-3.1-pro-preview__baseline_think8k.jsonl,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/mmlu_pro__gemini-3.1-pro-preview__cta.jsonl,,,,,
MMLU-Pro,mmlu_pro,text-mcq,gemini-3-flash-preview,Gemini 3 Flash,0.12,0.1,-0.02,-16.666667,0.916667,0.925,100,100,600,600,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/mmlu_pro__gemini-3-flash-preview__baseline_think8k.jsonl,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/mmlu_pro__gemini-3-flash-preview__cta.jsonl,,,,,
CSQA,commonsenseqa,text-mcq,gemini-3.1-pro-preview,Gemini 3.1 Pro,0.06,0.07,0.01,16.666667,0.935,0.916667,100,100,600,600,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/commonsenseqa__gemini-3.1-pro-preview__baseline_think8k.jsonl,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/commonsenseqa__gemini-3.1-pro-preview__cta.jsonl,,,,,
CSQA,commonsenseqa,text-mcq,gemini-3-flash-preview,Gemini 3 Flash,0.14,0.13,-0.01,-7.142857,0.913333,0.917923,100,100,600,597,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/commonsenseqa__gemini-3-flash-preview__baseline_think8k.jsonl,MMIOS/results/experiments/tfx_full_n100_2026-05-21_12-33-24_2026-05-21_12-33-25/inference/commonsenseqa__gemini-3-flash-preview__cta.jsonl,,,,,
MathVision,mathvision,visual-mcq,gemini-3.1-pro-preview,Gemini 3.1 Pro,0.29,0.29,0.0,0.0,0.81,0.79,100,100,600,600,MMIOS/results/experiments/wwe_full_2026-05-22_10-27-00_2026-05-22_10-27-01/inference/mathvision__gemini-3.1-pro-preview__baseline_think8k.jsonl,MMIOS/results/experiments/wwe_full_2026-05-22_10-27-00_2026-05-22_10-27-01/inference/mathvision__gemini-3.1-pro-preview__cta.jsonl,,,,,
MathVision,mathvision,visual-mcq,gemini-3-flash-preview,Gemini 3 Flash,0.35,0.35,0.0,0.0,0.788333,0.793333,100,100,600,600,MMIOS/results/experiments/wwe_full_2026-05-22_10-27-00_2026-05-22_10-27-01/inference/mathvision__gemini-3-flash-preview__baseline_think8k.jsonl,MMIOS/results/experiments/wwe_full_2026-05-22_10-27-00_2026-05-22_10-27-01/inference/mathvision__gemini-3-flash-preview__cta.jsonl,,,,,
