facet,n_items,sigma_pi_mean,sigma_pi_median,sigma_pi_q25,sigma_pi_q75,sigma_pi_min,sigma_pi_max,delta_n,delta_mean,delta_abs_mean,delta_min,delta_max,sigma_ratio_vs_option,delta_ratio_vs_option
document_rank_order,1138,0.09657223339173732,0.09657354283569933,0.0964986353311411,0.09664338961784288,0.0962733022090434,0.09693512536309383,12,-0.0007103240002535307,0.009975625158306184,-0.01884590353765694,0.01897620897075817,1.1032472297483482,3.808375234715867
evidence_chunk_order,786,0.10502295155341075,0.10501779081167795,0.10494130594955986,0.10510657572573755,0.10461780724572128,0.10542856336505196,12,-0.0007154301559146424,0.011778593927312805,-0.02432925446680906,0.022819229563378493,1.1997135383589372,4.496691154759604
image_set_order,213,0.15182939654073954,0.15182429779655357,0.15170069599822655,0.15196493333036365,0.15134600051358013,0.152260903860383,12,-0.004478074639547987,0.02160977111343557,-0.047438854757128834,0.05444339419112852,1.7344267491304886,8.249920764891712
mixed_modality_order,597,0.26490162863623734,0.2649012340126951,0.2646656181268759,0.26514336070740996,0.2637801860057064,0.26605263809799284,18,-4.795819522373031,4.795819522373031,-4.814144957867348,-4.777560532015923,3.0262072199073473,
option_order,878,0.0875362692055159,0.08753572203188568,0.08746844843729723,0.08760429741855282,0.0872426755242229,0.08802995672676484,12,-0.0003141991479608472,0.0026193913528718867,-0.010577337578652514,0.004479993762342676,1.0,1.0
